State,County,FIPS,CensusTract,POP2010,OHU2010,MedianFamilyIncome,lapop20,lalowi20,lasnap20,TractLOWI,TractSNAP,lapop20_share,lalowi20_share,lasnap20_share
AK,0,2105,2105000300,2055,872,59750,2039.888238,797.9909726,166.0790262,796,168,99.26463445255474,38.83167749878345,98.85656321428571
AK,0,2195,2195000200,3815,1599,84844,57.21157378,8.018288724,2.241648903,771,128,1.499648067627785,0.21017794820445607,1.7512882054687502
AK,0,2198,8792940700,5559,2194,182948,1022.0449725000001,559.2369244,85.80840698,2447,550,18.385410550458715,10.060027422198239,15.601528541818183
AK,0,2275,2275000300,2369,1053,66071,193.3386507,58.90084422,12.73104748,696,171,8.161192515829462,2.4863167674124105,7.4450570058479535
AK,Aleutians East,2013,2013000100,3141,553,63250,2045.0772140000001,1018.8253460000001,44.340431,1573,84,65.10911219356893,32.43633702642471,52.78622738095239
AK,Aleutians West,2016,4032000300,5561,1212,153308,1185.0000109999999,459.9671071,35.059523399999996,1780,78,21.30911726308218,8.271302051789247,44.94810692307692
AK,Anchorage,2020,111100089942,291826,107332,5009016,18.45862629,3.041217043,0.289294453,65978,8983,0.006325216495445918,0.0010421336834277961,0.0032204659133919624
AK,Bethel,2050,6150000600,17013,4651,158649,8143.8624,5290.8573538,995.0577338,8937,1555,47.86846764239111,31.09890879797802,63.99085104823151
AK,Bristol Bay,2060,2060000100,997,423,92083,996.9999981000001,176.10243359999998,21.25628132,177,20,99.9999998094283,17.66323305917753,106.28140660000001
AK,Denali,2068,2068000100,1826,806,102552,1826.000014,418.7696352,21.2105264,480,19,100.00000076670317,22.93371496166484,111.6343494736842
AK,Dillingham,2070,4140000300,4847,1563,126559,1729.622325,1150.773195,197.9940877,2287,330,35.684388797194146,23.741968124613162,59.99820839393939
AK,Fairbanks North Star,2090,39710019000,97581,36441,1527638,909.5273219000001,226.38395356,29.452237874999998,21924,2306,0.9320741967186236,0.23199593523329337,1.2772002547701646
