County_name,county_fips,McCount
Autauga,1001,1
Baldwin,1003,12
Barbour,1005,1
Bibb,1007,1
Blount,1009,2
Bullock,1011,1
Butler,1013,1
Calhoun,1015,6
Chambers,1017,1
Cherokee,1019,1
Chilton,1021,2
Clarke,1025,2
Clay,1027,1
Cleburne,1029,1
Coffee,1031,1
Colbert,1033,4
Conecuh,1035,1
Covington,1039,1
Crenshaw,1041,1
Cullman,1043,4
Dale,1045,2
Dallas,1047,2
DeKalb,1049,2
Elmore,1051,6
Escambia,1053,4
Etowah,1055,6
Fayette,1057,1
Franklin,1059,2
Geneva,1061,1
Hale,1065,1
Houston,1069,6
Jackson,1071,2
Jefferson,1073,42
Lamar,1075,1
Lauderdale,1077,6
Lawrence,1079,1
Lee,1081,6
Limestone,1083,3
Macon,1087,1
Madison,1089,15
Marengo,1091,1
Marion,1093,2
Marshall,1095,4
Mobile,1097,29
Monroe,1099,1
Montgomery,1101,13
Morgan,1103,6
Pike,1109,1
Randolph,1111,1
Russell,1113,4
St. Clair,1115,3
Shelby,1117,11
Sumter,1119,1
Talladega,1121,4
Tallapoosa,1123,2
Tuscaloosa,1125,11
Walker,1127,3
Winston,1133,1
Anchorage,2020,17
Fairbanks North Star,2090,4
Juneau,2110,1
Kenai Peninsula,2122,3
Ketchikan Gateway,2130,1
Kodiak Island,2150,1
Matanuska-Susitna,2170,3
Sitka,2220,1
Apache,4001,2
Cochise,4003,7
Coconino,4005,8
Gila,4007,2
Graham,4009,2
La Paz,4012,2
Maricopa,4013,171
Mohave,4015,9
Navajo,4017,7
Pima,4019,43
Pinal,4021,13
Santa Cruz,4023,3
Yavapai,4025,9
Yuma,4027,8
Arkansas,5001,1
Ashley,5003,1
Baxter,5005,3
Benton,5007,16
Boone,5009,2
Bradley,5011,1
Carroll,5015,2
Chicot,5017,1
Clark,5019,2
Clay,5021,2
Cleburne,5023,1
Columbia,5027,1
Conway,5029,1
Craighead,5031,4
Crawford,5033,3
Crittenden,5035,3
Cross,5037,1
Dallas,5039,1
Desha,5041,1
Drew,5043,1
Faulkner,5045,6
Franklin,5047,1
Garland,5051,7
Grant,5053,1
Greene,5055,3
Hempstead,5057,1
Hot Spring,5059,2
Howard,5061,1
Independence,5063,1
Jackson,5067,1
Jefferson,5069,6
Johnson,5071,1
Lawrence,5075,1
Lincoln,5079,1
Little River,5081,1
Logan,5083,2
Lonoke,5085,4
Madison,5087,1
Miller,5091,1
Mississippi,5093,3
Monroe,5095,1
Ouachita,5103,1
Phillips,5107,2
Pike,5109,1
Poinsett,5111,2
Polk,5113,1
Pope,5115,4
Pulaski,5119,28
Randolph,5121,1
St. Francis,5123,1
Saline,5125,4
Scott,5127,1
Searcy,5129,1
Sebastian,5131,8
Sevier,5133,1
Sharp,5135,2
Stone,5137,1
Union,5139,2
Van Buren,5141,1
Washington,5143,13
White,5145,5
Yell,5149,1
Alameda,6001,48
Amador,6005,1
Butte,6007,6
Calaveras,6009,1
Colusa,6011,1
Contra Costa,6013,32
Del Norte,6015,1
El Dorado,6017,6
Fresno,6019,41
Glenn,6021,1
Humboldt,6023,5
Imperial,6025,6
Inyo,6027,2
Kern,6029,39
Kings,6031,8
Lake,6033,2
Lassen,6035,1
Los Angeles,6037,352
Madera,6039,6
Marin,6041,5
Mendocino,6045,4
Merced,6047,14
Mono,6051,1
Monterey,6053,17
Napa,6055,3
Nevada,6057,2
Orange,6059,98
Placer,6061,16
Riverside,6065,70
Sacramento,6067,59
San Benito,6069,2
San Bernardino,6071,72
San Diego,6073,111
San Francisco,6075,18
San Joaquin,6077,32
San Luis Obispo,6079,12
San Mateo,6081,22
Santa Barbara,6083,16
Santa Clara,6085,64
Santa Cruz,6087,6
Shasta,6089,7
Siskiyou,6093,2
Solano,6095,22
Sonoma,6097,16
Stanislaus,6099,23
Sutter,6101,4
Tehama,6103,2
Tulare,6107,21
Tuolumne,6109,2
Ventura,6111,29
Yolo,6113,8
Yuba,6115,1
Adams,8001,25
Alamosa,8003,1
Arapahoe,8005,24
Archuleta,8007,1
Boulder,8013,7
Broomfield,8014,3
Chaffee,8015,1
Clear Creek,8019,1
Delta,8029,1
Denver,8031,28
Douglas,8035,9
Eagle,8037,2
El Paso,8041,28
Fremont,8043,1
Garfield,8045,3
Grand,8049,2
Gunnison,8051,1
Jefferson,8059,25
Kit Carson,8063,1
La Plata,8067,1
Larimer,8069,13
Las Animas,8071,1
Lincoln,8073,1
Logan,8075,1
Mesa,8077,6
Moffat,8081,1
Montezuma,8083,1
Montrose,8085,2
Morgan,8087,2
Otero,8089,1
Pitkin,8097,1
Prowers,8099,1
Pueblo,8101,7
Routt,8107,1
Summit,8117,1
Teller,8119,1
Weld,8123,10
Fairfield,9001,29
Hartford,9003,37
Litchfield,9005,7
Middlesex,9007,7
New Haven,9009,39
New London,9011,13
Tolland,9013,5
Windham,9015,5
Kent,10001,9
New Castle,10003,19
Sussex,10005,9
District of Columbia,11001,33
Alachua,12001,11
Baker,12003,1
Bay,12005,11
Bradford,12007,1
Brevard,12009,30
Broward,12011,77
Calhoun,12013,1
Charlotte,12015,6
Citrus,12017,5
Clay,12019,9
Collier,12021,15
Columbia,12023,2
DeSoto,12027,1
Dixie,12029,1
Duval,12031,52
Escambia,12033,14
Flagler,12035,3
Gadsden,12039,1
Gulf,12045,1
Hardee,12049,1
Hendry,12051,2
Hernando,12053,10
Highlands,12055,4
Hillsborough,12057,56
Holmes,12059,1
Indian River,12061,6
Jackson,12063,4
