POP2010,OHU2010,MedianFamilyIncome,lapop20,lalowi20,lasnap20,TractLOWI,TractSNAP,lapop20_share,lalowi20_share,lasnap20_share
13798,5718,393613,3312.4834349800003,1424.147029944,266.860129563,4710,1017,24.006982424844185,10.321401869430352,26.23993407699115
3141,553,63250,2045.0772140000001,1018.8253460000001,44.340431,1573,84,65.10911219356893,32.43633702642471,52.78622738095239
5561,1212,153308,1185.0000109999999,459.9671071,35.059523399999996,1780,78,21.30911726308218,8.271302051789247,44.94810692307692
291826,107332,5009016,18.45862629,3.041217043,0.289294453,65978,8983,0.006325216495445918,0.0010421336834277961,0.0032204659133919624
17013,4651,158649,8143.8624,5290.8573538,995.0577338,8937,1555,47.86846764239111,31.09890879797802,63.99085104823151
997,423,92083,996.9999981000001,176.10243359999998,21.25628132,177,20,99.9999998094283,17.66323305917753,106.28140660000001
1826,806,102552,1826.000014,418.7696352,21.2105264,480,19,100.00000076670317,22.93371496166484,111.6343494736842
4847,1563,126559,1729.622325,1150.773195,197.9940877,2287,330,35.684388797194146,23.741968124613162,59.99820839393939
97581,36441,1527638,909.5273219000001,226.38395356,29.452237874999998,21924,2306,0.9320741967186236,0.23199593523329337,1.2772002547701646
2508,1149,66250,434.2534701,156.17887919999998,20.47717745,800,122,17.314731662679424,6.227228038277511,16.78457168032787
95,41,51250,6.646032999,2.4167392569999997,0.46516238299999996,24,5,6.995824209473684,2.5439360599999996,9.30324766
31275,12187,585242,28.999881161999998,4.370711664,1.136188827,5725,978,0.09272543936690647,0.013975097247002398,0.11617472668711656
55400,22161,973259,1488.216309903,436.775244187,35.223284804,14372,1762,2.686311028705776,0.7884029678465705,1.9990513509648127
13477,5305,340701,23.17786131,0.0,0.823375669,3373,752,0.17198086599391557,0.0,0.10949144534574469
13592,4630,371695,487.6159858,219.50797090000003,16.65827178,3753,418,3.5875219673337253,1.6149791855503237,3.985232483253588
1631,553,54148,1625.1002039999998,708.1138411000001,104.5774278,648,97,99.63827124463518,43.415931397915394,107.8117812371134
88995,31824,1949767,3694.2704343149994,1373.429294496,201.349333398,23491,3398,4.151098864335075,1.5432656828990394,5.925524820423779
9492,2815,108358,4442.699835827,3024.1095661659997,592.622588089,5227,873,46.80467589366836,31.859561379751366,67.88345797124857
9430,2029,161607,5217.000069,1148.9630498000001,118.1052638,2305,341,55.323436574761395,12.184125660657477,34.63497472140762
7523,1919,133002,3506.0538439999996,2133.877585,367.89407539999996,3527,588,46.604464229695594,28.364716004253626,62.56701962585033
8881,3545,159789,34.88431959,0.0,1.148861333,1900,341,0.3927972029050782,0.0,0.3369094818181818
968,436,84375,0.15933171699999998,0.025967544,0.0053522280000000005,162,13,0.016459888119834707,0.0026825975206611567,0.04117098461538462
7029,2567,133918,2633.5808294000003,1066.7976334,156.593566411,2518,234,37.46736135154361,15.177089677052214,66.92032752606838
9636,3966,270974,1674.7541091340001,613.826402251,95.365996844,2305,233,17.380179629867165,6.3701370096616845,40.92961237939914
7459,1745,42072,3992.999985,2725.939362,482.4189323,5390,892,53.532644925593246,36.54564099745274,54.08283994394619
662,270,76000,662.000001,167.84566840000002,26.49056628,161,26,100.0000001510574,25.35433057401813,101.88679338461539
5588,2217,192891,5587.999995,2779.7991477,718.4970758,2764,665,99.99999991052255,49.74586878489621,108.04467305263157
54571,20221,732995,0.0,0.0,0.0,18692,2682,0.0,0.0,0.0
182265,73180,1880613,0.0,0.0,0.0,63277,6471,0.0,0.0,0.0
27457,9820,388107,0.0,0.0,0.0,12484,2097,0.0,0.0,0.0
22915,7953,173450,0.0,0.0,0.0,10123,1125,0.0,0.0,0.0
57322,21578,469224,0.0,0.0,0.0,22865,2900,0.0,0.0,0.0
