"SUMLEV","REGION","DIVISION","STATE","COUNTY","STNAME","CTYNAME","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016"
50.00,3.00,6.00,1.00,1.00,"Alabama","Autauga County",54571.00,54571.00,54742.00,55255.00,55027.00,54792.00,54977.00,55035.00,55416.00
50.00,3.00,6.00,1.00,3.00,"Alabama","Baldwin County",182265.00,182265.00,183199.00,186653.00,190403.00,195147.00,199745.00,203690.00,208563.00
50.00,3.00,6.00,1.00,5.00,"Alabama","Barbour County",27457.00,27457.00,27348.00,27326.00,27132.00,26938.00,26763.00,26270.00,25965.00
50.00,3.00,6.00,1.00,7.00,"Alabama","Bibb County",22915.00,22919.00,22861.00,22736.00,22645.00,22501.00,22511.00,22561.00,22643.00
50.00,3.00,6.00,1.00,9.00,"Alabama","Blount County",57322.00,57324.00,57376.00,57707.00,57772.00,57746.00,57621.00,57676.00,57704.00
50.00,3.00,6.00,1.00,11.00,"Alabama","Bullock County",10914.00,10911.00,10892.00,10722.00,10654.00,10576.00,10712.00,10455.00,10362.00
50.00,3.00,6.00,1.00,13.00,"Alabama","Butler County",20947.00,20946.00,20938.00,20848.00,20665.00,20330.00,20283.00,20126.00,19998.00
50.00,3.00,6.00,1.00,15.00,"Alabama","Calhoun County",118572.00,118586.00,118468.00,117736.00,117208.00,116475.00,115837.00,115285.00,114611.00
50.00,3.00,6.00,1.00,17.00,"Alabama","Chambers County",34215.00,34170.00,34101.00,34006.00,34084.00,34123.00,33996.00,34043.00,33843.00
50.00,3.00,6.00,1.00,19.00,"Alabama","Cherokee County",25989.00,25986.00,25977.00,26073.00,26017.00,26074.00,25944.00,25726.00,25725.00
50.00,3.00,6.00,1.00,21.00,"Alabama","Chilton County",43643.00,43631.00,43675.00,43758.00,43693.00,43769.00,43874.00,43809.00,43941.00
50.00,3.00,6.00,1.00,23.00,"Alabama","Choctaw County",13859.00,13858.00,13840.00,13610.00,13549.00,13384.00,13310.00,13201.00,12993.00
50.00,3.00,6.00,1.00,25.00,"Alabama","Clarke County",25833.00,25833.00,25762.00,25549.00,25148.00,25105.00,24862.00,24726.00,24392.00
50.00,3.00,6.00,1.00,27.00,"Alabama","Clay County",13932.00,13932.00,13882.00,13676.00,13461.00,13464.00,13503.00,13495.00,13492.00
50.00,3.00,6.00,1.00,29.00,"Alabama","Cleburne County",14972.00,14972.00,14975.00,14976.00,14928.00,15031.00,15076.00,14996.00,14924.00
50.00,3.00,6.00,1.00,31.00,"Alabama","Coffee County",49948.00,49948.00,50183.00,50484.00,51180.00,50729.00,50757.00,51063.00,51226.00
50.00,3.00,6.00,1.00,33.00,"Alabama","Colbert County",54428.00,54428.00,54521.00,54460.00,54493.00,54456.00,54427.00,54295.00,54216.00
50.00,3.00,6.00,1.00,35.00,"Alabama","Conecuh County",13228.00,13228.00,13209.00,13193.00,13007.00,12866.00,12621.00,12597.00,12395.00
50.00,3.00,6.00,1.00,37.00,"Alabama","Coosa County",11539.00,11758.00,11758.00,11369.00,11201.00,11058.00,10794.00,10687.00,10581.00
50.00,3.00,6.00,1.00,39.00,"Alabama","Covington County",37765.00,37765.00,37801.00,38066.00,37842.00,37890.00,37795.00,37661.00,37458.00
50.00,3.00,6.00,1.00,41.00,"Alabama","Crenshaw County",13906.00,13898.00,13857.00,13903.00,13920.00,13874.00,13898.00,13876.00,13913.00
50.00,3.00,6.00,1.00,43.00,"Alabama","Cullman County",80406.00,80410.00,80476.00,80457.00,80351.00,80731.00,81167.00,81858.00,82471.00
50.00,3.00,6.00,1.00,45.00,"Alabama","Dale County",50251.00,50247.00,50360.00,50119.00,50296.00,49753.00,49389.00,49370.00,49226.00
50.00,3.00,6.00,1.00,47.00,"Alabama","Dallas County",43820.00,43820.00,43820.00,43207.00,42748.00,41950.00,41532.00,40893.00,40008.00
50.00,3.00,6.00,1.00,49.00,"Alabama","DeKalb County",71109.00,71115.00,71143.00,71389.00,70961.00,70882.00,70947.00,70996.00,70900.00
50.00,3.00,6.00,1.00,51.00,"Alabama","Elmore County",79303.00,79296.00,79573.00,80030.00,80291.00,80661.00,80794.00,81238.00,81799.00
50.00,3.00,6.00,1.00,53.00,"Alabama","Escambia County",38319.00,38319.00,38314.00,38227.00,38063.00,37877.00,37878.00,37827.00,37728.00
50.00,3.00,6.00,1.00,55.00,"Alabama","Etowah County",104430.00,104427.00,104449.00,104236.00,104215.00,103790.00,103371.00,102873.00,102564.00
50.00,3.00,6.00,1.00,57.00,"Alabama","Fayette County",17241.00,17241.00,17231.00,17063.00,16966.00,16858.00,16821.00,16723.00,16546.00
50.00,3.00,6.00,1.00,59.00,"Alabama","Franklin County",31704.00,31709.00,31734.00,31734.00,31652.00,31505.00,31540.00,31542.00,31628.00
50.00,3.00,6.00,1.00,61.00,"Alabama","Geneva County",26790.00,26788.00,26796.00,26843.00,27012.00,26754.00,26688.00,26755.00,26614.00
50.00,3.00,6.00,1.00,63.00,"Alabama","Greene County",9045.00,9045.00,9001.00,8926.00,8837.00,8702.00,8525.00,8450.00,8422.00
50.00,3.00,6.00,1.00,65.00,"Alabama","Hale County",15760.00,15760.00,15740.00,15377.00,15393.00,15293.00,15081.00,15075.00,14952.00
50.00,3.00,6.00,1.00,67.00,"Alabama","Henry County",17302.00,17300.00,17294.00,17405.00,17237.00,17188.00,17156.00,17191.00,17164.00
50.00,3.00,6.00,1.00,69.00,"Alabama","Houston County",101547.00,101555.00,101804.00,102480.00,103382.00,103614.00,104177.00,104225.00,104056.00
50.00,3.00,6.00,1.00,71.00,"Alabama","Jackson County",53227.00,53226.00,53181.00,53275.00,53087.00,52939.00,52580.00,52298.00,52138.00
50.00,3.00,6.00,1.00,73.00,"Alabama","Jefferson County",658466.00,658348.00,658150.00,657669.00,657639.00,658578.00,659733.00,660007.00,659521.00
50.00,3.00,6.00,1.00,75.00,"Alabama","Lamar County",14564.00,14564.00,14495.00,14301.00,14257.00,14192.00,14062.00,13902.00,13918.00
50.00,3.00,6.00,1.00,77.00,"Alabama","Lauderdale County",92709.00,92709.00,92747.00,92593.00,92694.00,92713.00,93005.00,92477.00,92318.00
50.00,3.00,6.00,1.00,79.00,"Alabama","Lawrence County",34339.00,34339.00,34306.00,34052.00,33788.00,33570.00,33432.00,33133.00,33244.00
50.00,3.00,6.00,1.00,81.00,"Alabama","Lee County",140247.00,140296.00,140804.00,144123.00,148289.00,151411.00,154277.00,156767.00,158991.00
50.00,3.00,6.00,1.00,83.00,"Alabama","Limestone County",82782.00,82782.00,83162.00,85571.00,87368.00,88904.00,90640.00,91622.00,92753.00
50.00,3.00,6.00,1.00,85.00,"Alabama","Lowndes County",11299.00,11289.00,11278.00,11117.00,10835.00,10685.00,10524.00,10422.00,10358.00
50.00,3.00,6.00,1.00,87.00,"Alabama","Macon County",21452.00,21448.00,21499.00,21317.00,20632.00,20016.00,19594.00,19215.00,18963.00
50.00,3.00,6.00,1.00,89.00,"Alabama","Madison County",334811.00,334811.00,336149.00,339594.00,342773.00,346704.00,350121.00,353302.00,356967.00
50.00,3.00,6.00,1.00,91.00,"Alabama","Marengo County",21027.00,21036.00,20953.00,20728.00,20451.00,20208.00,20086.00,19912.00,19673.00
