state,fips,county,diab_n,diab_per
Alabama,01001,Autauga County,5144,13
Alabama,01003,Baldwin County,15367,10.4
Alabama,01005,Barbour County,3813,18.4
Alabama,01007,Bibb County,2557,14.8
Alabama,01009,Blount County,5990,14.1
Alabama,01011,Bullock County,1588,19.6
Alabama,01013,Butler County,2676,17.7
Alabama,01015,Calhoun County,13000,14.9
Alabama,01017,Chambers County,4259,16.4
Alabama,01019,Cherokee County,2685,13.3
Alabama,01021,Chilton County,4299,13.3
Alabama,01023,Choctaw County,1867,18.1
Alabama,01025,Clarke County,3057,16.3
Alabama,01027,Clay County,1503,14.6
Alabama,01029,Cleburne County,1421,12.6
Alabama,01031,Coffee County,5998,15.9
Alabama,01033,Colbert County,7736,18.7
Alabama,01035,Conecuh County,1700,17.4
Alabama,01037,Coosa County,1516,17.3
Alabama,01039,Covington County,4221,14.7
Alabama,01041,Crenshaw County,1716,16.5
Alabama,01043,Cullman County,8773,14.4
Alabama,01045,Dale County,5209,14.1
Alabama,01047,Dallas County,5741,19
Alabama,01049,DeKalb County,6911,13.4
Alabama,01051,Elmore County,8029,13.4
Alabama,01053,Escambia County,5095,17.8
Alabama,01055,Etowah County,13196,16.8
Alabama,01057,Fayette County,1941,15.1
Alabama,01059,Franklin County,3224,13.9
Alabama,01061,Geneva County,2815,13.9
Alabama,01063,Greene County,1362,21
Alabama,01065,Hale County,1810,16
Alabama,01067,Henry County,2471,18.7
Alabama,01069,Houston County,10485,13.7
Alabama,01071,Jackson County,6005,14.9
Alabama,01073,Jefferson County,63518,13
Alabama,01075,Lamar County,1612,14.9
Alabama,01077,Lauderdale County,10000,14.2
Alabama,01079,Lawrence County,3975,15.6
Alabama,01081,Lee County,10562,9.5
Alabama,01083,Limestone County,8334,12.6
Alabama,01085,Lowndes County,1869,23.5
Alabama,01087,Macon County,2736,18.4
Alabama,01089,Madison County,29818,11.5
Alabama,01091,Marengo County,3027,20.2
Alabama,01093,Marion County,4349,18.7
Alabama,01095,Marshall County,8867,12.8
Alabama,01097,Mobile County,47210,15.6
Alabama,01099,Monroe County,2914,17.8
Alabama,01101,Montgomery County,22380,13.5
Alabama,01103,Morgan County,11263,12.6
Alabama,01105,Perry County,1538,21.7
Alabama,01107,Pickens County,2406,16.4
Alabama,01109,Pike County,3396,13.5
Alabama,01111,Randolph County,2524,14.9
Alabama,01113,Russell County,5554,12.9
Alabama,01115,St. Clair County,8263,12.8
Alabama,01117,Shelby County,12893,8.7
Alabama,01119,Sumter County,2013,20.1
Alabama,01121,Talladega County,9383,15.3
Alabama,01123,Tallapoosa County,4325,13.7
Alabama,01125,Tuscaloosa County,18203,12.3
Alabama,01127,Walker County,8334,16.7
Alabama,01129,Washington County,2231,17.8
Alabama,01131,Wilcox County,1560,19.3
Alabama,01133,Winston County,2454,13.2
Alaska,02013,Aleutians East Borough,220,7.6
Alaska,02016,Aleutians West,301,6.2
Alaska,02020,Anchorage Municipality,15227,7
Alaska,02050,Bethel Census Area,631,5.8
Alaska,02060,Bristol Bay Borough,61,8.5
Alaska,02068,Denali Borough,88,5.8
Alaska,02070,Dillingham Census Area,232,7.2
Alaska,02090,Fairbanks North Star,4025,5.5
Alaska,02100,Haines Borough,159,7.9
Alaska,02105,Hoonah-Angoon 2009 Census,122,7.3
Alaska,02110,Juneau City and Borough,1444,5.9
Alaska,02122,Kenai Peninsula Borough,3072,7.2
Alaska,02130,Ketchikan Gateway Borough,915,8.9
Alaska,02150,Kodiak Island Borough,659,6.6
Alaska,02164,Lake and Peninsula Borough,83,7.4
Alaska,02170,Matanuska-Susitna Borough,5510,8.2
Alaska,02180,Nome Census Area,372,6
Alaska,02185,North Slope Borough,460,6.5
Alaska,02188,Northwest Arctic Borough,310,6.5
Alaska,02195,Petersburg 2009 Census,173,7.1
Alaska,02198,Prince of Wales-Hyder 2009 Census,343,7.3
Alaska,02201,Prince of Wales-Outer K 2004 to 2008 Census,No Data,No Data
Alaska,02220,Sitka City and Borough,450,6.7
Alaska,02230,Skagway Municipality 2009 Census,56,6.4
Alaska,02232,Hoonah-Angoon 2004 to 2008 Census,No Data,No Data
Alaska,02240,Southeast Fairbanks Census,346,6.9
Alaska,02261,Valdez-Cordova Census Area,525,7.4
Alaska,02270,Wade Hampton Census Area,201,4.6
Alaska,02275,Wrangell City and Borough 2009 Census,162,8.9
Alaska,02280,Wrangell-Petersburg 2004 to 2008 Census,No Data,No Data
Alaska,02282,Yakutat City and Borough,39,7.9
Alaska,02290,Yukon-Koyukuk Census Area,330,8.3
Arizona,04001,Apache County,6994,14.4
Arizona,04003,Cochise County,9962,10.3
Arizona,04005,Coconino County,7471,7.6
Arizona,04007,Gila County,4592,11.2
Arizona,04009,Graham County,2651,10.3
Arizona,04011,Greenlee County,660,10.7
Arizona,04012,La Paz County,2438,14.8
Arizona,04013,Maricopa County,260341,9
Arizona,04015,Mohave County,20520,12.8
