stName,Abbrev,pop2016,obesity_n,stObesityPer,diab_n,stDiabPer,statePop2010,housingUnits2010,medFamIncome,mcd_per_cap,st_low_inc_pop_per,st_snap_households_per,mcCount
Alabama,AL,4863300.0,1223286.0,34.04080628621,492691.0,13.7196152942492,4779736.0,1883791.0,62676154.0,5.20222893919766e-05,38.8206567557009,15.4789995280793,253.0
Alaska,AK,741894.0,150664.0,28.6835787838964,36315.0,6.9121961035339,700717.0,255441.0,13280144.0,4.17849450190998e-05,24.2763791053708,9.81439941121433,31.0
Arizona,AZ,6931071.0,1262003.0,26.0888470805046,464589.0,9.60396660500054,6392017.0,2380990.0,92612299.0,4.12634641890121e-05,36.0860103727115,13.5926652358893,286.0
Arkansas,AR,2988248.0,747964.0,34.4300045304759,270151.0,12.4372203427152,2915918.0,1147084.0,35122700.0,5.8562743119045e-05,41.0809611518187,14.5992795645306,175.0
California,CA,39250017.0,6390985.0,22.6839447201508,2440812.0,8.65214958878475,37253956.0,12577498.0,604648002.0,3.41401126017347e-05,34.5872130450287,8.76635400776848,1340.0
Colorado,CO,5540545.0,786276.0,20.1947856859819,239639.0,6.15207716659259,5029196.0,1972868.0,93453834.0,3.89853344752186e-05,27.6570626174862,8.67741785056071,216.0
Connecticut,CT,3576452.0,679758.0,25.1359554594962,232820.0,8.61713286169807,3574097.0,1371087.0,75292686.0,3.97041537255358e-05,23.0128909880518,11.4855585385902,142.0
Delaware,DE,952065.0,204285.0,29.3750153229703,74097.0,10.6517319927436,897934.0,342297.0,15922228.0,3.88628927646747e-05,26.6834722419163,12.5954945558974,37.0
District of Columbia,DC,681170.0,115146.0,22.4,41511.0,8.10000000000001,601723.0,266707.0,17593246.0,4.84460560506188e-05,28.0969508345934,14.1642326598102,33.0
Florida,FL,20612439.0,3884581.0,25.7318196880797,1591871.0,10.5481096385992,18801310.0,7420802.0,250764960.0,4.22075233309362e-05,34.9870580575157,13.9171749899809,870.0
Georgia,GA,10310371.0,2136514.0,29.5782897037916,796383.0,11.0238153545044,9687653.0,3585584.0,117504926.0,4.51002199629868e-05,36.513099286146,15.0325581551011,465.0
Hawaii,HI,1428557.0,237683.0,22.2817405319733,88048.0,8.2746682309101,1360301.0,455338.0,25323687.0,5.25005302553556e-05,24.7863403420375,10.7465223636068,75.0
Idaho,ID,1683140.0,319151.0,27.9859772060985,98916.0,8.67825981203874,1567582.0,579408.0,16838717.0,3.74300414701094e-05,36.5678434354837,12.8058293982824,63.0
Illinois,IL,12801539.0,2600939.0,27.3442163878319,864658.0,9.09480711080727,12830632.0,4836972.0,224317880.0,5.28842664932709e-05,31.275591161344,12.3919055144417,677.0
Indiana,IN,6633053.0,1522702.0,31.7328358079128,533877.0,11.1150500320159,6483802.0,2502154.0,86347274.0,5.30675693379806e-05,33.6660207599728,12.4796475356833,352.0
Iowa,IA,3134693.0,712866.0,31.312002782576,218604.0,9.60841010986169,3046355.0,1221576.0,53399367.0,4.7851575895949e-05,28.8892724104083,11.6963660058809,150.0
